"name","SMILES","InChI","InChIKey","formula","neutralMass","molNeutralized","mz"
"Citalopram-TP36","CN(C)CCCC1(C2=C(CO1)[CH](=[C](C(=C2O)O)(C(=O)O)O)O)c1ccc(cc1)F","InChI=1S/C20H24FNO7/c1-22(2)9-3-8-19(11-4-6-12(21)7-5-11)14-13(10-29-19)16(24)20(28,18(26)27)17(25)15(14)23/h4-7,16,23-25,28H,3,8-10H2,1-2H3,(H,26,27)","CDUSTHVBJDBYBY-UHFFFAOYSA-N","C20H24FNO7",409.153680328,TRUE,NA
"Citalopram-TP37","CN(C)CCCC1(C(=O)C(=CC(=C(C(=O)O)O)C(=O)O)CO1)c1ccc(cc1)F","InChI=1S/C20H22FNO7/c1-22(2)9-3-8-20(13-4-6-14(21)7-5-13)17(24)12(11-29-20)10-15(18(25)26)16(23)19(27)28/h4-7,10,23H,3,8-9,11H2,1-2H3,(H,25,26)(H,27,28)/b12-10?,16-15+","QZYFOKIUYBDGFV-LNFYLJFMSA-N","C20H22FNO7",407.138030264,TRUE,NA
"Citalopram-TP38","NCCCC1(c2c(CO1)cc(cc2)C(=O)O)c1ccc(cc1)F","InChI=1S/C18H18FNO3/c19-15-5-3-14(4-6-15)18(8-1-9-20)16-7-2-12(17(21)22)10-13(16)11-23-18/h2-7,10H,1,8-9,11,20H2,(H,21,22)","RZGOSSRIVSMLLG-UHFFFAOYSA-N","C18H18FNO3",315.127071656,TRUE,NA
"Citalopram-TP39","N(C)CCCC1(c2c(C(O1)O)cc(cc2)C(=O)O)c1ccc(cc1)F","InChI=1S/C19H20FNO4/c1-21-10-2-9-19(13-4-6-14(20)7-5-13)16-8-3-12(17(22)23)11-15(16)18(24)25-19/h3-8,11,18,21,24H,2,9-10H2,1H3,(H,22,23)","CPKROPPSZOBNRJ-UHFFFAOYSA-N","C19H20FNO4",345.13763634,TRUE,NA
"Citalopram-TP40","N(C)CCCC1(C2=CC([C](=[CH]=C2CO1)(C(=O)O)O)O)c1ccc(cc1)F","InChI=1S/C19H22FNO5/c1-21-8-2-7-19(13-3-5-14(20)6-4-13)15-9-16(22)18(25,17(23)24)10-12(15)11-26-19/h3-6,9-10,16,21-22,25H,2,7-8,11H2,1H3,(H,23,24)","CCYROAUQNFKVHY-UHFFFAOYSA-N","C19H22FNO5",363.148201024,TRUE,NA
"Citalopram-TP41","C(=O)(CCC1(c2c(CO1)cc(cc2)C(=O)O)c1ccc(cc1)F)O","InChI=1S/C18H15FO5/c19-14-4-2-13(3-5-14)18(8-7-16(20)21)15-6-1-11(17(22)23)9-12(15)10-24-18/h1-6,9H,7-8,10H2,(H,20,21)(H,22,23)","DHDGTFYYPXCVCN-UHFFFAOYSA-N","C18H15FO5",330.0903518,TRUE,NA
"Citalopram-TP42","CN(C)CCCC1(c2c(C(=O)O1)cc(cc2)C(=O)O)c1ccc(cc1)F","InChI=1S/C20H20FNO4/c1-22(2)11-3-10-20(14-5-7-15(21)8-6-14)17-9-4-13(18(23)24)12-16(17)19(25)26-20/h4-9,12H,3,10-11H2,1-2H3,(H,23,24)","XFRQRYPJFAACIN-UHFFFAOYSA-N","C20H20FNO4",357.13763634,TRUE,NA
"Citalopram-TP43","CN(C)CCCC1(c2c(C(O1)O)cc(cc2)C(=O)O)c1c(c(c(cc1)F)O)O","InChI=1S/C20H22FNO6/c1-22(2)9-3-8-20(14-6-7-15(21)17(24)16(14)23)13-5-4-11(18(25)26)10-12(13)19(27)28-20/h4-7,10,19,23-24,27H,3,8-9H2,1-2H3,(H,25,26)","JLHNKPMGLYMERJ-UHFFFAOYSA-N","C20H22FNO6",391.143115644,TRUE,NA
"Citalopram-TP44","C(=O)CCC1(c2c(C(O1)O)cc(cc2)C(=O)O)c1ccc(cc1)F","InChI=1S/C18H15FO5/c19-13-5-3-12(4-6-13)18(8-1-9-20)15-7-2-11(16(21)22)10-14(15)17(23)24-18/h2-7,9-10,17,23H,1,8H2,(H,21,22)","LYLDBOVJMXXTLK-UHFFFAOYSA-N","C18H15FO5",330.0903518,TRUE,NA
"Citalopram-TP45","CN(C)CCCC1(C2=CC([C](=[CH]=C2C(O1)O)(C(=O)O)O)O)c1ccc(cc1)F","InChI=1S/C20H24FNO6/c1-22(2)9-3-8-20(12-4-6-13(21)7-5-12)15-10-16(23)19(27,18(25)26)11-14(15)17(24)28-20/h4-7,10-11,16-17,23-24,27H,3,8-9H2,1-2H3,(H,25,26)","AJAZFRMCCDFODB-UHFFFAOYSA-N","C20H24FNO6",393.158765708,TRUE,NA
